SPY,XLE,XLF,XLI,XLK,XLP,XLU,XLY
145.4375,26.5625,22.875,28.84375,55.4375,22.75,27.45313,30.125
139.75,26.0625,21.875,28.04688,52.625,22.10938,26.625,29.21875
140.0,26.75,21.70313,27.92188,51.84375,22.5,27.29688,28.85938
137.75,27.78125,22.65625,28.29688,50.125,22.92188,27.25,29.1875
145.75,28.07813,23.03125,29.375,51.0,24.375,27.48438,30.5625
146.25,27.84375,22.625,29.375,52.9375,23.82813,27.57813,30.40625
144.3125,27.875,22.25,29.0,51.4375,23.82813,27.28125,30.23438
143.0625,27.75,22.6875,28.65625,51.21875,23.95313,27.0,30.0625
145.0,28.23438,23.375,29.20313,51.6875,24.07813,26.75,30.21875
146.96875,28.0625,23.92188,29.0,52.875,24.15625,26.96875,30.14063
145.8125,28.40625,23.125,28.96875,53.15625,23.75,26.85938,29.96875
146.25,28.3125,23.04688,28.875,53.25,23.92188,26.875,29.90625
144.75,28.3125,22.625,28.6875,53.5625,23.59375,27.0,29.5
144.4375,29.09375,22.34375,28.32813,53.625,23.32813,27.875,28.89063
140.34375,28.0625,21.9375,27.51563,51.875,22.65625,27.5,27.8125
141.9375,28.0,22.17188,27.35938,52.98438,22.375,26.85938,27.98438
140.8125,27.5625,23.0,27.57813,51.25,22.57813,26.73438,28.1875
140.25,27.0,23.25,27.73438,50.75,23.0,26.5625,28.10938
135.875,26.6875,22.4375,27.0,48.9375,22.8125,26.42188,27.0
139.625,27.3125,23.0625,27.1875,50.5625,23.23438,27.64063,27.20313
140.9375,27.25,23.1875,27.0,51.625,23.0,27.4375,28.1875
141.0625,27.42188,22.95313,27.01563,52.0,23.04688,27.29688,28.0
143.1875,27.09375,22.8125,27.0,53.5,22.73438,27.25,28.10938
142.59375,26.3125,22.57813,27.10938,54.125,22.71875,27.10938,28.0625
142.375,26.60938,22.34375,26.64063,54.75,22.6875,27.03125,27.46875
144.3125,26.375,22.59375,26.75,55.25,22.96875,27.09375,28.09375
141.28125,25.5,22.0625,26.46875,54.5625,22.76563,27.09375,27.625
141.5625,26.03125,21.45313,26.01563,55.85938,22.0,26.70313,27.375
138.6875,25.71875,21.5,25.46875,54.375,21.57813,26.23438,26.98438
139.5,26.125,21.6875,25.875,54.40625,21.6875,26.26563,27.125
141.09375,27.21875,21.71875,26.32813,54.5625,22.17188,26.20313,27.1875
139.1875,27.34375,21.26563,26.26563,54.28125,21.85938,26.09375,26.125
138.28125,27.3125,21.0,26.375,55.5,21.53125,25.9375,25.375
135.3125,26.51563,20.25,25.79688,53.625,21.28125,24.98438,25.0
134.96875,26.28125,20.4375,26.21875,53.5,21.625,24.89063,25.0625
136.5625,25.59375,20.35938,26.01563,55.125,21.15625,24.375,24.98438
133.8125,25.3125,19.9375,25.78125,55.8125,20.71875,23.5625,24.1875
133.32813,24.8125,19.8125,25.32813,55.28125,20.20313,23.4375,24.28125
136.125,25.5625,20.45313,25.40625,54.625,20.59375,24.10938,25.15625
137.4375,26.15625,20.59375,25.6875,55.875,20.51563,24.28125,25.6875
138.4375,26.8125,20.875,25.54688,56.4375,20.32813,25.34375,25.39063
138.53125,27.3125,20.75,25.64063,57.0,20.375,26.0,25.35938
141.125,26.875,20.9375,26.34375,58.57813,20.26563,26.23438,25.82813
139.8125,26.71875,20.73438,26.23438,58.48438,19.78125,25.5,25.21875
137.04688,28.5625,20.10938,25.1875,56.875,18.71875,25.20313,24.51563
136.875,28.09375,19.875,25.45313,57.875,19.29688,25.375,24.8125
140.875,28.125,19.98438,25.71875,59.625,19.8125,25.57813,25.3125
140.1875,27.75,20.04688,25.78125,59.75,19.57813,25.57813,24.96875
138.59375,27.34375,20.25,25.39063,58.875,19.26563,25.65625,24.76563
136.625,27.6875,20.17188,25.25,57.53125,19.15625,25.48438,24.8125
139.8125,27.5625,21.40625,26.26563,56.53125,20.375,25.625,26.3125
146.34375,28.75,23.23438,27.73438,58.5,21.5,26.84375,28.28125
146.9375,27.78125,23.17188,27.59375,59.875,21.09375,26.64063,28.26563
146.78125,27.34375,22.73438,27.75,59.625,20.90625,26.53125,28.0
149.1875,28.21875,23.5625,28.34375,61.1875,21.29688,26.35938,28.3125
150.09375,28.0,23.76563,28.21875,62.25,21.125,25.75,28.1875
152.5,27.96875,24.59375,28.875,63.4375,20.95313,26.1875,28.26563
153.5625,28.03125,24.875,29.04688,63.98438,20.57813,25.9375,28.35938
151.9375,28.125,24.0625,28.6875,64.5,20.3125,26.29688,28.28125
151.0625,28.0,24.25,28.60938,62.9375,20.54688,26.17188,28.375
151.21875,29.46875,24.0625,28.96875,61.09375,21.04688,26.64063,28.9375
148.6875,29.46875,24.10938,29.15625,59.4375,21.32813,26.57813,29.57813
150.375,29.3125,24.26563,29.20313,60.5625,21.21875,26.73438,29.26563
151.25,29.8125,25.4375,29.32813,58.0,22.1875,26.90625,30.14063
145.75,29.4375,24.42188,29.0,57.4375,22.8125,27.28125,29.76563
149.1875,28.5625,24.23438,28.89063,57.8125,22.5,27.64063,29.8125
150.48438,29.3125,24.5,29.14063,58.5625,22.09375,27.8125,30.125
151.4375,28.85938,24.0,29.57813,60.5625,21.8125,27.73438,30.125
150.84375,28.4375,24.6875,29.625,58.375,22.35938,27.67188,30.82813
150.40625,28.9375,24.84375,29.98438,56.9375,22.75,28.39063,31.04688
146.28125,29.1875,25.10938,29.45313,53.25,23.01563,28.64063,30.98438
144.25,29.125,24.45313,29.53125,52.23438,22.85938,28.67188,30.40625
138.375,28.5,22.46875,27.59375,49.5,21.73438,27.625,28.0
140.75,27.8125,22.65625,28.26563,52.1875,22.35938,27.20313,28.03125
144.46875,27.95313,23.5625,28.375,54.78125,22.5,27.28125,28.625
